CustomerID,CustomerName,Email,City
83,Allison White,gary51@hotmail.com,Rileyburgh
84,Nathan Avila,cynthia46@baker.com,Lake Emilyfort
85,Nicole Wise,aramirez@williams.com,Margaretmouth
86,Christina Murphy,julie53@clark.org,Johnsonborough
87,Micheal Hernandez,parkerpatrick@hotmail.com,Michaelhaven
88,Christopher Turner,ann46@gmail.com,Tommyland
89,Tracy Gutierrez,daniel86@stephens.com,Cisneroschester
90,Angela Montgomery,matthew73@english.com,New Peterside
91,Douglas Ochoa,wesley28@gonzalez-stevens.com,North Paul
92,Warren Ho,smithchristian@roth-robinson.info,South Beckyshire
93,Lance Ward,campbellbryan@nichols.org,Jennaland
94,Jay Rodriguez,heathermcdowell@yahoo.com,New Troystad
95,Karen Mendez,wmoon@yahoo.com,Lake Denisetown
96,Frederick Melendez,melindavilla@hanson-mercado.com,Meganburgh
97,Terri Bryant,sherrymiddleton@herrera.com,West Georgeville
98,Bonnie Kent,matthewrocha@elliott.info,Obrienside
99,Susan Powell,hannah36@yahoo.com,Jasonport
100,Lee Mueller,pachecosierra@gmail.com,Castilloland
